-0.11,0.00,0.99,-1.11,1.31,-0.24,1784.00,-693.00,-108.00,100505.01
-0.11,0.00,1.01,-0.56,1.07,0.09,1784.00,-693.00,-123.00,100502.02
-0.11,0.01,0.99,-1.03,1.33,-0.05,1783.00,-693.00,-109.00,100505.05
-0.11,0.01,0.99,-0.82,1.13,-0.07,1782.00,-686.00,-112.00,100504.39
-0.11,0.01,0.99,-0.66,1.28,0.09,1779.00,-701.00,-109.00,100500.66
-0.11,0.01,0.99,-0.96,1.08,-0.28,1779.00,-704.00,-123.00,100503.74
-0.11,0.01,0.99,-0.69,1.21,0.07,1781.00,-693.00,-105.00,100505.89
-0.11,0.01,1.00,-0.87,1.36,0.01,1784.00,-692.00,-106.00,100503.74
-0.12,0.01,1.00,-1.01,1.44,0.05,1776.00,-694.00,-122.00,100505.20
-0.12,0.01,1.00,-0.60,1.31,-0.36,1776.00,-690.00,-111.00,100501.55
-0.11,0.01,1.00,-0.95,1.09,0.11,1776.00,-698.00,-116.00,100504.36
-0.11,0.01,1.00,-0.57,1.16,0.11,1780.00,-686.00,-105.00,100505.89
-0.11,0.01,1.00,-0.75,1.29,-0.24,1790.00,-693.00,-136.00,100501.97
-0.11,0.01,0.99,-0.72,1.30,0.02,1789.00,-695.00,-113.00,100503.47
-0.12,0.00,1.00,-0.82,1.11,-0.02,1778.00,-693.00,-119.00,100501.08
-0.11,0.01,1.00,-0.68,1.16,-0.04,1788.00,-695.00,-131.00,100505.89
-0.11,0.01,1.00,-0.72,1.24,-0.08,1783.00,-696.00,-127.00,100501.31
-0.11,0.01,0.99,-0.72,0.95,0.15,1781.00,-696.00,-107.00,100505.43
-0.11,0.01,1.00,-0.91,1.24,-0.18,1776.00,-701.00,-119.00,100503.28
-0.11,0.01,1.00,-0.66,1.08,-0.14,1777.00,-690.00,-121.00,100503.93
-0.11,0.01,0.99,-0.68,1.10,0.04,1781.00,-691.00,-107.00,100503.93
-0.12,0.01,0.99,-0.92,1.34,-0.18,1777.00,-699.00,-121.00,100506.55
-0.13,0.01,1.00,-0.82,17.39,2.36,1751.00,-680.00,-132.00,100505.43
-0.23,0.01,0.97,-0.68,11.05,-1.47,1606.00,-687.00,-175.00,100501.73
-0.27,0.01,0.96,-0.89,10.15,0.00,1570.00,-677.00,-187.00,100502.39
-0.35,0.01,0.94,-1.14,1.57,0.18,1469.00,-669.00,-208.00,100504.55
-0.39,0.00,0.93,-0.88,5.50,0.37,1409.00,-669.00,-230.00,100508.47
-0.45,0.01,0.88,-0.78,4.36,-0.05,1321.00,-686.00,-272.00,100509.78
-0.51,0.01,0.88,-1.21,12.73,0.52,1206.00,-669.00,-262.00,100504.97
-0.55,0.01,0.82,-0.92,-1.56,0.15,1164.00,-671.00,-277.00,100502.34
-0.53,0.01,0.85,-1.24,-0.08,-0.05,1170.00,-677.00,-271.00,100503.89
-0.46,0.00,0.88,0.34,-14.70,-1.99,1295.00,-678.00,-267.00,100504.12
-0.30,0.01,0.95,-0.36,-13.38,-0.53,1530.00,-687.00,-227.00,100501.04
-0.20,0.01,1.00,0.00,-3.77,-0.27,1667.00,-692.00,-179.00,100506.31
-0.12,-0.00,0.99,-0.59,-1.23,0.18,1757.00,-691.00,-122.00,100510.02
-0.07,0.01,0.99,-0.73,-18.11,-0.11,1824.00,-705.00,-103.00,100502.34
0.06,0.01,0.99,-0.28,-16.21,0.23,1979.00,-697.00,6.00,100507.55
0.19,0.02,0.98,-0.47,-4.88,1.68,2122.00,-717.00,137.00,100506.05
0.27,0.01,0.97,-0.34,-5.55,0.15,2211.00,-724.00,206.00,100507.58
0.33,0.01,0.94,-0.91,-3.57,0.21,2263.00,-720.00,276.00,100505.86
0.37,0.01,0.93,-0.85,3.06,-0.04,2304.00,-718.00,338.00,100508.43
0.40,0.01,0.92,-0.87,-2.02,0.01,2325.00,-718.00,360.00,100507.34
0.44,0.01,0.91,-0.06,-1.82,1.85,2349.00,-731.00,434.00,100505.62
0.45,0.01,0.89,-0.89,-3.44,0.22,2360.00,-722.00,446.00,100507.12
0.46,0.00,0.87,-0.79,4.54,-0.04,2374.00,-731.00,444.00,100501.04
0.36,0.01,0.95,-1.14,17.15,-0.56,2300.00,-709.00,333.00,100505.86
0.19,0.00,0.98,-1.65,20.59,-0.24,2131.00,-720.00,129.00,100510.44
-0.02,0.01,1.00,-0.74,13.60,0.98,1901.00,-709.00,-51.00,100505.86
0.01,0.11,0.81,-6.43,-6.70,26.10,1796.00,-693.00,-108.00,100504.55
-0.11,0.01,0.99,-0.68,0.81,-0.06,1783.00,-724.00,-127.00,100499.50
-0.13,0.00,0.99,0.24,1.56,-11.31,1785.00,-729.00,-131.00,100501.04
-0.14,-0.09,0.99,-15.92,17.10,-5.34,1758.00,-901.00,-132.00,100505.43
-0.08,-0.22,0.99,-7.11,-6.59,-1.94,1793.00,-1050.00,-93.00,100503.61
-0.07,-0.24,0.97,-0.43,0.24,-0.36,1823.00,-1084.00,-73.00,100503.66
-0.06,-0.28,0.96,-2.41,2.26,-0.13,1834.00,-1118.00,-71.00,100496.88
-0.05,-0.30,0.93,-4.00,4.43,-0.34,1839.00,-1140.00,-63.00,100505.62
-0.06,-0.31,0.93,2.08,1.38,-0.96,1841.00,-1140.00,-60.00,100506.93
-0.06,-0.31,0.95,-2.05,3.03,-1.72,1834.00,-1168.00,-67.00,100509.78
-0.06,-0.30,0.95,1.03,2.02,-0.97,1840.00,-1154.00,-75.00,100510.20
-0.05,-0.29,0.97,3.84,1.20,-2.50,1838.00,-1124.00,-71.00,100513.24
-0.07,-0.17,0.97,8.76,5.25,-1.87,1814.00,-986.00,-98.00,100509.31
-0.09,-0.07,1.00,12.27,-1.53,0.87,1817.00,-811.00,-112.00,100508.01
-0.09,0.07,1.01,13.40,4.76,2.15,1826.00,-608.00,-72.00,100510.62
-0.07,0.22,0.96,9.95,-0.02,0.28,1823.00,-374.00,-38.00,100514.55
-0.11,0.34,0.94,8.82,1.73,-3.04,1805.00,-243.00,8.00,100506.27
-0.08,0.38,0.91,1.38,-1.03,1.82,1833.00,-191.00,64.00,100509.31
-0.08,0.42,0.92,-2.03,5.29,-1.38,1824.00,-151.00,69.00,100512.82
-0.07,0.39,0.92,-2.63,3.79,-1.40,1827.00,-168.00,74.00,100511.28
-0.06,0.33,0.96,-11.56,4.16,1.53,1860.00,-267.00,44.00,100512.82
-0.05,0.25,0.95,-12.61,-1.53,0.44,1862.00,-357.00,8.00,100509.12
-0.02,0.11,0.98,-15.15,3.18,1.41,1883.00,-557.00,-40.00,100507.12
-0.08,0.02,0.99,-0.09,24.61,-9.65,1834.00,-689.00,-86.00,100503.00
-0.11,0.00,1.00,-1.67,4.05,7.01,1786.00,-723.00,-112.00,100503.66
-0.12,-0.00,1.01,-2.87,5.18,5.50,1781.00,-757.00,-125.00,100504.97
-0.12,0.02,0.99,-3.19,0.48,23.51,1762.00,-892.00,-130.00,100503.84
-0.14,-0.00,0.99,-3.25,0.36,26.75,1731.00,-1064.00,-116.00,100500.16
-0.11,-0.01,0.99,-3.86,1.24,18.72,1649.00,-1220.00,-120.00,100497.72
-0.14,0.01,0.99,-2.40,1.83,16.53,1580.00,-1324.00,-135.00,100502.30
-0.13,0.00,0.99,-0.57,0.40,5.89,1521.00,-1386.00,-124.00,100498.61
-0.14,0.04,0.98,-3.35,0.84,16.95,1437.00,-1440.00,-132.00,100501.80
-0.10,0.04,0.99,-1.38,1.98,5.19,1347.00,-1476.00,-109.00,100501.80
-0.12,0.01,1.00,-0.93,1.49,0.34,1331.00,-1497.00,-127.00,100503.12
-0.11,0.03,1.00,0.79,1.68,-10.35,1357.00,-1471.00,-102.00,100502.23
-0.13,0.03,0.99,2.63,1.13,-25.12,1473.00,-1411.00,-124.00,100505.45
-0.13,0.01,0.99,2.27,0.71,-23.11,1609.00,-1303.00,-117.00,100499.38
-0.13,0.00,1.00,8.92,-2.27,-27.30,1717.00,-1129.00,-109.00,100500.27
-0.11,0.04,0.99,2.90,0.61,-28.40,1799.00,-933.00,-112.00,100503.50
-0.13,0.01,0.98,6.14,0.76,-23.63,1773.00,-751.00,-133.00,100507.84
-0.13,0.00,0.99,-1.95,-1.11,16.12,1791.00,-819.00,-106.00,100506.95
-0.09,0.01,1.00,-1.63,1.69,7.39,1771.00,-937.00,-116.00,100509.58
-0.10,0.05,1.00,0.53,-0.20,-34.42,1816.00,-642.00,-83.00,100508.69
-0.10,0.00,1.00,1.72,1.71,-31.90,1682.00,-352.00,-93.00,100508.27
-0.09,0.07,0.92,0.35,1.39,-20.03,1531.00,-216.00,-81.00,100505.42
-0.13,0.04,1.00,2.13,5.31,-30.50,1338.00,-96.00,-46.00,100508.50
-0.12,0.04,0.99,0.98,-0.24,-11.40,1200.00,-44.00,-20.00,100509.77
-0.13,0.02,0.99,-0.16,0.24,-2.21,1123.00,-20.00,-19.00,100507.57
-0.12,0.02,1.00,-0.74,-1.39,-9.60,1058.00,-19.00,-4.00,100508.00
-0.10,0.01,1.00,-4.68,0.18,26.59,1115.00,-15.00,-21.00,100509.48
-0.16,0.03,0.98,-4.85,-2.71,44.77,1361.00,-80.00,-47.00,100504.91
-0.10,0.01,0.99,-4.83,-4.06,42.27,1654.00,-316.00,-78.00,100502.95
-0.08,0.02,0.99,-3.60,10.47,15.11,1741.00,-514.00,-110.00,100505.10
-0.05,0.00,1.01,-0.24,1.81,3.50,1824.00,-562.00,-79.00,100503.38
-0.11,0.01,0.99,-2.35,2.35,8.71,1756.00,-646.00,-137.00,100501.98
-0.11,0.01,0.99,-0.73,1.08,-3.16,1766.00,-672.00,-115.00,100505.91
-0.12,0.01,1.00,-1.12,-1.19,1.02,1775.00,-659.00,-123.00,100499.02
-0.11,0.01,0.99,-0.60,0.92,0.14,1776.00,-686.00,-107.00,100499.44
-0.11,0.01,1.00,-1.01,1.16,-0.01,1777.00,-674.00,-105.00,100500.98
-0.11,0.01,0.99,-0.88,1.21,-0.14,1773.00,-686.00,-110.00,100501.83
